Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
86,2,0,0,2,20,0,1,13.582,1,2.66,-3.458,3.907,0.408,3.154
87,2,0,1,3,27,0,6,13.507,1,2.505,-3.698,3.907,0.569,4.005
88,2,0,0,2,21,0,1,14.813,2,2.691,-3.137,3.907,0.651,3.101
89,1,0,1,3,23,0,1,13.594,1,2.807,-3.54,4.248,0.39,4.324
90,2,0,0,2,20,0,1,13.781,1,3.029,-3.241,3.907,0.65,2.448
91,2,0,0,2,21,0,1,13.697,1,2.781,-3.347,3.907,0.622,2.472
92,1,0,0,4,23,0,1,14.397,2,2.499,-3.344,4.248,0.327,4.234
93,2,0,0,2,15,0,8,13.341,0,2.466,-2.344,1.585,1.222,0.983
94,2,0,0,2,18,0,10,13.119,0,2.16,-2.78,1.585,1.2,2.023
95,1,0,0,0,10,0,5,12.809,0,2.02,-2.658,1,0.508,2.287
96,2,0,0,1,15,0,1,12.676,0,2.632,-3.126,3.17,0.402,1.333
97,2,0,0,1,10,0,1,13.008,0,2.308,-2.325,1.585,0.394,0.449
98,2,0,0,2,19,0,2,12.641,0,3.508,-3.354,3.907,0.646,1.77
99,2,1,0,1,22,0,3,14.464,0,2.218,-2.432,1.585,1.101,-0.395
100,2,1,0,2,14,0,2,14.583,0,2.736,-2.176,3.7,0.444,0.616
101,1,0,0,1,21,0,3,12.106,0,2.485,-4.183,3.807,0.189,4.169
102,0,0,0,2,22,0,4,13.258,1,2.252,-3.851,3.7,0.298,4.528
103,1,0,0,1,21,0,3,12.296,0,2.587,-3.974,3.807,0.456,3.962
104,0,0,0,2,22,0,4,12.192,0,2.34,-4.054,3.7,0.303,4.121
105,1,0,0,3,22,0,1,13.53,1,2.772,-3.446,3.807,0.643,3.429
106,0,0,0,2,20,0,4,12.211,0,2.626,-3.89,3.7,0.316,3.533
107,0,0,0,2,21,0,4,12.201,0,2.451,-3.974,3.7,0.299,3.875
108,1,0,0,1,20,0,3,12.111,0,2.667,-4.106,3.807,0.205,3.826
109,0,1,0,1,21,0,6,13.251,0,2.447,-3.765,4.087,0.492,4.631
110,0,0,0,1,19,0,6,12.326,0,2.533,-3.801,3.7,0.468,3.725
111,0,0,0,1,20,0,5,12.51,0,2.226,-3.674,2.807,0.634,3.036
112,1,0,0,1,16,0,4,13.85,1,1.912,-3.25,3,0.283,3.299
113,2,0,0,2,18,0,1,12.454,0,3.407,-3.475,3.907,0.485,3.387
114,2,0,0,2,19,0,1,12.641,0,3.434,-3.354,3.907,0.593,2.642
115,0,0,1,2,24,1,5,12.635,0,2.729,-3.821,3.807,0.421,3.813
116,0,0,1,2,24,1,5,12.635,0,2.729,-3.821,3.807,0.421,3.813
117,0,0,3,1,22,0,7,13.236,0,3.065,-3.446,3.7,0.718,4.435
118,1,0,3,2,22,0,10,13.508,0,2.884,-3.041,3,0.799,3.202
119,0,0,1,1,24,0,4,12.884,0,3.14,-3.63,3.7,1.052,3.327
120,0,0,0,1,20,0,2,14.455,2,2.205,-3.674,3.7,0.202,5.18
121,1,0,0,3,17,0,5,12.832,0,3.072,-2.885,3.7,0.58,1.418
122,0,0,0,1,21,0,4,12.106,0,2.625,-4.183,3.7,0.205,4.211
123,1,0,0,1,17,0,4,12.598,0,2.649,-3.366,3,0.582,2.085
124,1,0,0,5,26,0,5,13.45,1,2.703,-3.435,4.17,0.658,2.362
125,0,0,0,1,22,0,12,12.464,0,2.361,-3.851,2.807,0.63,3.204
126,1,0,0,3,30,0,7,14.039,2,2.438,-3.762,3.807,0.862,4.859
127,0,1,3,3,30,0,7,13.711,0,2.712,-3.598,3.7,0.857,4.308
128,0,1,0,3,27,0,6,13.992,1,2.314,-3.698,3.7,0.606,3.943
129,0,1,0,3,25,0,4,13.99,1,2.18,-3.715,3.7,0.399,4.58
130,0,1,0,2,20,0,3,13.213,0,2.128,-3.674,3.7,0.3,4.239
131,0,2,0,3,27,0,6,13.718,0,2.048,-3.874,3.7,0.415,5.039
132,0,1,0,2,21,0,4,14.272,1,2.045,-3.556,3.7,0.301,4.894
133,0,2,0,2,25,0,4,13.775,0,2.03,-3.901,3.7,0.317,5.886
134,1,0,0,4,23,0,1,13.377,1,2.564,-3.54,3.807,0.535,3.723
135,1,0,0,3,23,0,1,13.464,1,2.588,-3.54,3.807,0.627,3.771
136,1,1,0,4,22,0,1,13.286,0,2.312,-3.446,3.7,0.536,3.439
137,3,0,1,3,28,0,6,12.759,0,3.155,-3.777,4.322,0.709,3.197
138,1,0,1,1,26,0,6,13.565,1,2.691,-3.797,3.807,0.542,4.426
139,1,0,2,3,34,0,7,12.715,0,3.086,-4.19,4.585,0.696,5.375
140,1,1,0,3,27,0,6,13.271,0,2.6,-3.698,3.807,0.758,2.856
141,1,0,1,4,30,0,4,12.776,0,2.828,-3.762,4.17,0.678,3.59
142,3,2,0,3,30,0,5,13.814,0,2.128,-3.762,4,0.476,3.471
143,1,0,0,1,30,0,11,12.476,0,2.225,-4.253,3.807,0.761,5.381
144,1,0,0,2,27,0,4,12.454,0,2.924,-4.05,3.807,0.723,3.865
145,1,0,0,1,26,1,8,12.548,0,2.48,-3.977,3.17,0.822,3.343
146,1,0,0,0,23,0,4,12.358,0,2.184,-4.13,3,0.692,5.736
147,0,0,0,1,15,0,5,12.942,0,2.308,-2.865,2.807,1.033,1.214
148,1,0,0,2,19,0,5,14.059,0,2.285,-2.683,3.585,1.075,1.262
149,2,0,0,3,24,0,4,12.427,0,2.487,-3.821,3.7,0.571,2.424
150,0,0,0,1,18,0,2,12.122,0,2.443,-3.938,2.807,0.162,4.332
151,3,0,0,2,16,0,4,13.008,0,2.341,-2.75,2,0.696,1.185
152,3,0,0,2,15,0,3,13.075,0,2.368,-2.605,2,0.693,0.795
153,4,0,0,2,16,0,4,13.008,0,2.595,-2.75,2.322,0.715,0.961
154,4,0,0,2,19,1,3,12.851,0,2.495,-3.13,2.585,0.712,1.307
155,3,0,0,2,18,0,2,12.897,0,2.827,-3.012,3.322,0.697,1.043
156,3,0,0,2,16,0,4,13.008,0,2.341,-2.75,2,0.697,1.185
157,3,0,0,2,17,0,2,12.95,0,3.138,-2.885,3.322,0.724,0.7
158,2,0,0,2,16,0,2,12.759,0,2.909,-3,3.17,0.636,0.538
159,4,0,0,2,17,0,5,12.95,0,2.55,-2.885,2.322,0.72,1.351
160,0,0,0,0,7,0,1,23.197,3,1.446,-0.802,0,0.482,0.667
161,0,0,0,2,12,0,1,12.344,0,2.491,-2.987,2.807,0.207,1.848
162,1,0,0,4,10,0,0,13.208,0,4.027,-1.661,3.585,0.522,-1.318
163,2,0,0,1,29,0,6,12.905,0,2.54,-3.685,4,1.61,2.872
164,2,1,3,3,26,0,4,14.126,0,2.973,-3.073,4.322,0.687,3.514
165,1,0,0,1,21,0,4,12.676,0,2.614,-3.556,3.585,0.845,2.901
166,1,0,0,0,18,0,4,12.676,0,3.068,-3.475,3.807,0.789,3.667
167,1,0,1,0,18,0,3,12.842,0,3.125,-3.475,3.807,0.608,3.681
168,1,0,0,0,15,0,4,12.543,0,2.267,-3.386,3,0.54,3.073
