Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P,Decision
1,2,1,0,4,27,0,8,13.64,0,2.723,-3.17,3.807,1.403,1.76,1
1,2,1,0,4,27,0,10,13.64,0,2.857,-3.17,3.807,1.457,1.496,1
1,2,1,0,4,28,0,10,13.582,0,2.814,-3.262,3.807,1.461,1.886,1
1,1,0,0,2,25,0,9,12.809,0,2.836,-3.529,3.807,1.297,2.223,1
1,3,1,0,4,27,0,9,13.64,0,2.485,-3.17,3.907,1.387,2.495,1
1,2,1,1,4,26,0,6,16.43,0,2.122,-2.893,3.807,1.29,2.647,1
1,2,2,0,5,21,0,10,14.776,0,1.935,-2.51,3,0.836,1.322,1
1,2,1,0,4,27,0,10,13.64,0,2.584,-3.17,3.807,1.46,1.742,1
1,3,1,0,4,31,0,10,13.559,0,3.074,-3.356,4.392,1.763,2.448,1
1,2,1,0,4,26,0,9,13.55,0,2.419,-3.254,3.807,1.25,2.77,1
1,2,1,0,4,27,0,10,13.64,0,2.857,-3.17,3.807,1.457,1.496,1
1,2,1,0,4,28,0,11,13.582,0,2.557,-3.262,3.807,1.464,2.132,1
1,1,0,0,3,31,0,5,12.719,0,2.731,-3.836,3.807,1.527,4.259,1
1,1,1,0,6,17,1,7,13.895,0,2.213,-2.404,3,0.707,0.115,1
1,4,2,0,3,23,0,6,14.709,0,2.421,-2.753,4,0.986,1.798,1
1,2,1,0,4,27,0,10,13.64,0,2.584,-3.17,3.807,1.46,1.742,1
1,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,0.452,1
1,2,1,0,4,26,0,7,13.55,0,2.635,-3.254,3.807,1.229,2.335,1
1,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,0.452,1
1,2,1,0,4,29,0,13,13.665,0,2.689,-3.183,3.807,1.62,1.37,1
1,2,1,0,4,26,0,7,13.703,0,2.905,-3.073,3.807,1.446,1.106,1
1,2,1,0,4,24,0,8,13.844,0,2.927,-2.866,3.807,1.472,0.703,1
1,2,1,0,4,26,0,7,13.55,0,2.761,-3.254,3.807,1.25,2.383,1
1,0,0,0,1,17,0,5,12.832,0,2.367,-3.126,2.807,0.922,1.306,1
1,2,1,0,4,27,0,11,13.788,0,2.898,-2.994,3.807,1.663,0.326,1
1,3,1,0,4,23,0,7,13.924,0,3.033,-2.753,3.907,1.451,0.869,1
1,3,1,0,3,23,0,6,14.01,0,2.924,-2.753,3.907,1.607,1.497,1
1,5,2,0,4,22,0,5,14.922,0,2.328,-2.432,3.459,1.017,0.386,1
1,2,1,0,3,21,0,5,14.011,0,2.819,-2.719,3.807,1.472,1.719,1
1,2,1,0,4,23,0,8,13.75,0,2.816,-2.95,3.807,1.262,1.732,1
1,5,2,0,4,23,0,6,14.796,0,2.312,-2.557,3.459,1.022,0.776,1
1,2,1,0,4,26,0,10,13.703,0,2.704,-3.073,3.807,1.459,1.354,1
1,0,0,0,1,16,0,4,12.883,0,2.394,-3,2.807,1.066,1.519,1
1,2,1,0,4,27,0,11,13.788,0,2.898,-2.994,3.807,1.663,0.326,1
1,2,1,0,4,26,0,6,13.55,0,2.786,-3.254,3.807,1.261,2.653,1
1,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,0.452,1
1,3,1,0,4,24,0,7,13.844,0,2.851,-2.866,3.907,1.454,1.257,1
1,2,1,0,4,23,0,7,13.75,0,2.706,-2.95,3.807,1.262,1.731,1
1,2,1,0,4,25,0,6,14.549,1,2.599,-2.972,3.807,1.237,2.399,1
1,2,1,1,4,25,0,6,13.891,0,2.949,-2.972,3.807,1.285,1.884,1
1,1,0,0,2,21,0,5,12.771,0,2.577,-3.347,3.7,0.998,1.562,1
1,3,1,0,6,19,0,7,14.327,0,2.55,-2.012,3.17,1.343,0.262,1
1,1,1,0,4,25,0,4,13.452,0,2.846,-3.344,4.17,1.059,2.385,1
1,2,1,0,4,23,0,8,13.75,0,2.68,-2.95,3.807,1.245,1.603,1
1,2,1,0,4,25,0,7,13.611,0,2.804,-3.158,3.807,1.246,1.993,1
1,2,1,0,4,23,0,6,13.75,0,2.905,-2.95,3.807,1.238,1.355,1
1,2,1,0,4,26,0,6,13.55,0,2.761,-3.254,3.807,1.243,2.526,1
1,0,0,0,4,29,1,5,12.561,0,2.685,-3.853,3.807,1.227,3.651,1
1,2,1,0,5,22,0,7,13.92,0,2.92,-2.635,3.807,1.353,0.737,1
1,2,1,0,3,20,0,4,14.111,0,3.085,-2.593,3.807,1.549,1.416,1
1,2,1,0,4,22,0,7,13.829,0,2.87,-2.838,3.807,1.261,1.342,1
1,2,1,0,5,23,0,8,13.837,0,2.863,-2.753,3.807,1.354,1.127,1
1,2,1,0,3,20,0,6,13.712,0,2.135,-3.025,3.7,0.519,0.839,1
1,2,1,0,4,25,0,9,13.771,0,2.742,-2.972,3.807,1.457,0.964,1
1,0,0,0,4,29,1,5,12.561,0,2.685,-3.853,3.807,1.227,3.651,1
1,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.239,1.745,1
1,3,1,0,4,23,0,7,13.924,0,3.033,-2.753,3.907,1.45,0.869,1
1,2,1,0,4,25,0,7,13.611,0,2.804,-3.158,3.807,1.246,1.993,1
1,2,1,0,4,25,0,6,13.611,0,2.804,-3.158,3.807,1.24,2.135,1
1,0,0,0,1,22,0,6,12.827,0,3.014,-3.446,3.7,1.446,2.058,1
1,2,1,0,4,21,0,10,13.916,0,2.176,-2.719,3,0.993,1.459,1
1,2,0,0,7,26,0,8,13.603,1,2.617,-3.073,3.907,1.238,1.531,1
1,2,1,0,5,24,0,6,13.761,0,2.897,-2.866,3.807,1.332,1.14,1
1,2,1,0,4,27,0,9,13.64,0,2.44,-3.17,3.807,1.561,1.45,1
1,1,0,0,1,25,0,9,12.569,0,2.276,-3.901,3,0.914,3.484,1
1,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.239,1.745,1
1,2,1,0,4,25,0,6,13.611,0,2.679,-3.158,3.807,1.238,2.054,1
1,2,1,0,4,25,0,6,13.611,0,2.679,-3.158,3.807,1.238,2.054,1
1,1,0,0,3,24,0,10,13.091,0,2.994,-3.057,3,1.577,-0.237,1
1,2,1,0,5,26,1,6,13.626,0,2.96,-3.073,3.907,1.278,1.617,1
1,2,0,0,5,15,0,6,12.676,0,3.158,-2.605,3.17,0.8,0.237,1
1,1,0,0,1,24,0,6,12.593,0,2.384,-3.821,3,0.857,2.854,1
1,1,0,0,3,24,0,10,13.091,0,2.994,-3.057,3,1.577,-0.237,1
1,2,1,0,4,26,0,6,13.55,0,2.508,-3.254,3.807,1.344,2.232,1
1,1,0,0,1,26,0,5,12.548,0,2.816,-3.977,3.807,0.937,2.705,1
1,1,0,0,1,23,0,5,12.618,0,2.469,-3.737,3,0.913,2.456,1
1,1,2,0,1,26,0,5,14.244,0,2.248,-3.435,3.585,1.125,2.346,1
1,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.234,1.745,1
1,2,1,0,4,22,0,7,13.829,0,2.87,-2.838,3.807,1.254,1.342,1
1,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.233,1.745,1
1,2,0,0,7,15,0,3,14.771,1,3.091,-1.563,3.17,1.196,-1.082,1
1,1,0,0,1,25,0,5,12.569,0,2.66,-3.901,3.807,0.941,2.705,1
1,1,2,0,1,26,0,5,14.244,0,2.248,-3.435,3.585,1.125,2.346,1
0,2,0,3,6,35,1,6,13.18,0,3.383,-3.517,4.755,1.115,3.644,0
0,3,1,1,7,49,0,10,13.092,0,2.804,-4.24,5,1.316,4.87,0
0,1,0,0,4,28,2,6,12.581,0,3.176,-3.777,4,0.754,2.284,0
0,1,1,0,1,21,0,3,14.177,1,2.068,-3.765,3.807,0.184,5.188,0
0,0,0,0,1,20,0,0,12.51,0,2.92,-3.674,3.7,0.877,2.85,0
0,2,0,3,6,41,1,10,13.009,0,2.892,-3.92,4.755,1.225,4.715,0
0,7,2,0,6,31,0,8,14.463,0,2.576,-2.717,3.7,1.593,-0.255,0
0,0,1,0,3,25,0,4,13.99,1,2.18,-3.715,3.7,0.399,4.58,0
0,0,0,0,2,20,0,4,12.211,0,2.626,-3.89,3.7,0.316,3.533,0
0,0,0,0,2,22,0,4,13.258,1,2.252,-3.851,3.7,0.298,4.528,0
0,1,0,0,2,21,0,6,12.391,0,2.222,-3.765,3,0.427,3.897,0
0,2,0,0,2,42,0,9,12.866,0,2.569,-4.108,3.17,1.723,2.222,0
0,4,1,0,4,37,0,10,13.308,0,2.483,-3.801,4.087,1.17,1.765,0
0,1,0,0,1,19,0,5,12.956,0,2.701,-3.13,3,1.035,0.502,0
0,4,0,0,5,37,0,11,12.712,0,2.737,-3.942,4.087,1.203,1.715,0
0,2,0,0,10,35,0,11,13.151,0,3.339,-2.931,4.248,2.15,-1.208,0
0,2,0,0,10,41,0,15,12.984,0,2.783,-3.397,4.248,2.242,0.24,0
0,0,1,0,2,25,0,4,12.973,0,2.423,-4.087,4.248,0.335,5.592,0
0,0,1,3,3,30,0,7,13.711,0,2.712,-3.598,3.7,0.857,4.308,0
0,1,0,0,5,28,0,5,12.937,0,2.958,-3.262,4.17,1.627,1.785,0
0,4,0,0,5,19,0,3,13.376,0,3.149,-2.236,2.322,0.837,-0.025,0
0,1,0,0,1,16,0,4,13.85,1,1.912,-3.25,3,0.283,3.299,0
0,0,0,0,4,42,0,29,12.391,0,2.333,-4.622,3.7,1.156,7.224,0
0,0,0,1,2,18,0,3,12.621,0,2.696,-3.475,3.7,0.33,3.198,0
0,3,0,0,10,37,0,12,13.197,0,3.394,-2.957,4.322,2.307,-1.89,0
0,1,0,3,5,32,1,5,13.103,0,3.666,-3.594,4.7,0.837,4.039,0
0,1,0,0,4,23,0,1,13.377,1,2.564,-3.54,3.807,0.535,3.723,0
0,1,0,0,4,23,0,3,13.551,1,3.128,-3.344,4.524,0.647,3.535,0
0,1,0,0,4,32,0,4,12.51,0,2.609,-4.063,3.807,0.957,3.896,0
0,0,0,0,1,19,0,2,12.326,0,2.597,-3.801,2.807,0.366,3.17,0
0,2,0,0,7,39,0,11,12.676,0,3.149,-3.93,4.954,1.469,3.689,0
0,2,0,0,5,33,0,6,13.386,1,2.612,-3.669,4.17,1.08,2.928,0
0,2,0,3,6,35,1,6,13.18,0,3.725,-3.517,4.755,1.17,3.138,0
0,2,0,0,10,40,0,15,13.009,0,2.913,-3.326,4.248,2.136,0.811,0
0,1,0,0,1,22,0,8,12.827,0,2.37,-3.446,3,1.101,2.771,0
0,0,0,0,1,30,0,16,12.609,0,2.723,-4.089,3.7,1.142,4.107,0
0,0,0,0,4,27,1,5,12.602,0,3.051,-3.698,3.807,1.138,3.164,0
0,1,0,0,1,19,0,5,12.956,0,2.701,-3.13,3,1.035,0.502,0
0,2,0,0,7,21,0,5,13.983,1,3.141,-2.51,3.907,1.181,1.071,0
0,1,0,0,7,34,0,9,13.008,0,2.918,-3.292,4.17,1.827,-0.794,0
0,2,1,1,6,36,0,5,13.316,0,2.81,-3.734,4.585,1,3.687,0
0,3,1,0,3,18,0,4,13.901,0,2.602,-2.78,3.17,0.839,2.295,0
0,2,0,1,7,50,0,13,12.669,0,2.711,-4.402,4.7,1.426,5.808,0
0,0,0,0,1,17,0,5,12.996,0,3.1,-2.645,2.807,1.278,-0.835,0
0,0,0,0,1,19,0,6,12.536,0,2.579,-3.577,3.585,0.666,2.578,0
0,1,0,0,2,52,0,7,13.008,0,2.074,-4.166,1,2.467,1.901,0
0,1,0,0,7,37,0,8,12.496,0,2.902,-4.083,4.7,0.929,4.59,0
0,0,0,0,2,21,0,4,12.201,0,2.451,-3.974,3.7,0.299,3.875,0
0,2,1,0,4,22,0,4,13.648,0,2.94,-3.041,4.322,0.642,2.255,0
0,1,0,0,2,34,0,8,13.052,1,2.524,-4.339,4.322,0.697,5.088,0
0,1,0,1,3,36,0,12,12.704,0,2.519,-4.165,4.17,1.035,4.789,0
0,1,0,0,3,33,0,10,14.097,2,2.385,-3.669,3.807,1.407,4.041,0
0,1,0,0,1,22,0,5,12.827,0,2.907,-3.446,3,0.923,0.918,0
0,1,0,0,3,29,0,5,12.768,0,3.085,-3.685,3.807,1.438,3.772,0
0,3,1,1,5,36,0,6,13.372,0,2.536,-3.734,3.907,1.079,3.097,0
0,3,0,2,8,54,0,9,12.861,0,3.173,-4.263,5.209,1.822,4.943,0
0,3,0,2,8,52,0,8,12.894,0,3.315,-4.166,5.209,1.816,4.165,0
0,3,1,0,4,32,0,10,13.51,0,2.52,-3.438,3.907,1.664,3.64,0
0,2,1,3,3,24,0,6,14.468,0,3.027,-2.675,3.807,1.374,3.032,0
0,2,0,1,6,56,0,13,12.706,0,2.808,-4.563,4.755,1.918,6.179,0
0,2,0,0,5,36,0,6,13.383,1,2.488,-3.734,4.17,1.239,2.941,0
0,1,0,0,1,19,0,9,12.746,0,2.495,-3.354,3,0.955,1.989,0
0,1,0,0,1,16,0,2,13.85,1,2.274,-3.25,3,0.286,2.898,0
0,1,0,0,1,25,0,11,12.569,0,2.742,-3.901,3.807,0.811,3.241,0
0,3,1,0,4,26,0,10,13.55,0,2.635,-3.254,3.907,1.25,2.501,0
0,0,0,0,1,14,1,4,12.154,0,2.32,-3.535,3,0.187,2.183,0
0,3,1,0,4,32,0,10,13.51,0,2.52,-3.438,3.907,1.664,3.64,0
0,4,1,0,4,25,0,7,13.771,0,2.392,-2.972,3.322,1.366,2.362,0
0,0,0,0,1,13,0,0,12.165,0,2.026,-3.416,0,0.167,2.694,0
0,0,0,1,4,31,0,8,13.636,1,2.749,-3.516,4.17,1.242,4.276,0
0,1,0,1,1,26,0,6,13.565,1,2.691,-3.797,3.807,0.542,4.426,0
0,0,0,0,2,33,1,13,12.615,0,2.215,-4.127,3.807,1.365,5.093,0
0,1,0,0,1,31,0,11,19.874,0,1.275,-3.995,4.17,0.829,6.936,0
0,1,0,0,2,24,0,4,12.51,0,2.791,-3.821,3.7,0.722,3.173,0
0,4,1,3,3,40,0,9,13.685,0,2.713,-3.725,4.524,1.258,3.891,0
0,3,1,1,5,45,0,10,13.188,0,2.785,-4.149,4.755,1.43,4.905,0
0,2,0,3,6,41,1,11,13.009,0,3.023,-3.92,4.755,1.135,5.007,0
0,5,2,0,5,28,0,6,14.512,0,2.421,-2.747,4,1.218,1.42,0
0,1,0,0,3,14,0,1,15.788,2,2.232,-2.448,3,0.453,2.174,0
0,2,1,0,3,19,0,4,15.035,1,2.55,-2.683,3.807,0.848,2.658,0
0,0,0,0,2,18,0,6,12.676,0,2.59,-3.243,3.459,0.809,1.424,0
0,1,0,0,5,19,0,4,12.956,0,3.184,-2.683,3.585,0.814,0.268,0
0,2,0,0,10,36,0,11,13.119,0,3.135,-3.016,4.248,2.256,-1.778,0
0,0,0,0,1,12,0,1,12.742,0,3.243,-2.39,2.807,0.797,-0.596,0
