Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss
136,1,0,0,13.286,0,3.926,2.312,30.87,-3.446,0
137,0,1,0,12.759,0,4.517,3.155,58.1,-3.777,0.148
138,0,1,0,13.565,1,4.361,2.691,40.54,-3.797,0.235
139,0,2,0,12.715,0,4.708,3.086,41.03,-4.19,0.061
140,1,0,0,13.271,0,4.303,2.6,48.3,-3.698,0.298
141,0,1,0,12.776,0,4.536,2.828,64.16,-3.762,0.199
142,2,0,0,13.814,0,4.342,2.128,43.86,-3.762,0.086
143,0,0,0,12.476,0,4.289,2.225,49.77,-4.253,0.398
144,0,0,0,12.454,0,4.241,2.924,32.78,-4.05,0.248
145,0,0,1,12.548,0,4.177,2.48,49.77,-3.977,0.404
146,0,0,0,12.358,0,3.901,2.184,29.46,-4.13,0.495
147,0,0,0,12.942,0,3.548,2.308,53.71,-2.865,0.725
148,0,0,0,14.059,0,3.895,2.285,85.79,-2.683,0.381
149,0,0,0,12.427,0,4.055,2.487,39.34,-3.821,0.075
150,0,0,0,12.122,0,3.558,2.443,3.24,-3.938,0
151,0,0,0,13.008,0,3.628,2.341,75.27,-2.75,0.211
152,0,0,0,13.075,0,3.55,2.368,75.27,-2.605,0.211
153,0,0,0,13.008,0,3.656,2.595,75.27,-2.75,0.211
154,0,0,1,12.851,0,3.849,2.495,66.48,-3.13,0.211
155,0,0,0,12.897,0,3.832,2.827,66.48,-3.012,0.21
156,0,0,0,13.008,0,3.609,2.341,75.27,-2.75,0.211
157,0,0,0,12.95,0,3.805,3.138,75.27,-2.885,0.21
158,0,0,0,12.759,0,3.656,2.909,58.2,-3,0.15
159,0,0,0,12.95,0,3.7,2.55,75.27,-2.885,0.211
160,0,0,0,23.197,3,2.43,1.446,40.46,-0.802,0.266
161,0,0,0,12.344,0,3.205,2.491,16.13,-2.987,0
162,0,0,0,13.208,0,3.277,4.027,74.43,-1.661,0.072
163,0,0,0,12.905,0,4.384,2.54,83.09,-3.685,1.125
164,1,3,0,14.126,0,4.411,2.973,77.98,-3.073,0.086
165,0,0,0,12.676,0,3.943,2.614,62.32,-3.556,0.43
166,0,0,0,12.676,0,3.91,3.068,46.53,-3.475,0.504
167,0,1,0,12.842,0,3.927,3.125,37.3,-3.475,0.295
168,0,0,0,12.543,0,3.546,2.267,37.3,-3.386,0.295
169,0,0,0,13.667,1,4.245,2.697,68.53,-3.529,0.614
170,0,0,0,12.641,0,3.968,3.106,54.37,-3.577,0.378
171,0,0,0,12.715,0,3.824,2.779,46.53,-3.366,0.541
172,1,0,0,13.837,0,4.188,2.869,99.6,-2.95,0.407
173,0,0,0,12.918,0,3.35,2.973,49.33,-2.516,0.334
174,0,0,0,13.238,0,3.59,3.223,63.6,-2.562,0.534
175,0,0,0,12.646,0,3.948,2.699,41.93,-3.649,0.624
176,0,0,0,12.41,0,4.068,2.336,29.54,-4.087,0.269
177,0,0,0,12.729,0,4.135,2.994,70,-3.715,0.719
178,0,0,0,12.823,0,4.282,2.714,65.07,-3.698,0.744
179,0,0,0,12.33,0,4.186,2.636,23.55,-4.087,0.075
180,0,0,0,12.676,0,3.916,2.838,49.77,-3.556,0.57
181,0,0,0,12.827,0,3.991,2.927,70,-3.446,0.719
182,0,0,0,12.565,0,3.703,2.416,29.54,-3.475,0.28
183,0,0,0,12.271,0,3.923,2.292,20.31,-4.13,0.089
184,0,0,0,12.676,0,3.915,2.923,52.93,-3.556,0.635
185,0,0,0,12.296,0,3.825,2.176,23.47,-3.974,0.258
186,0,0,0,12.827,0,4.104,2.907,62.3,-3.446,0.567
187,0,0,0,12.701,0,4.218,2.583,59.06,-3.797,0.559
188,0,0,0,12.791,0,4.119,2.685,59.06,-3.54,0.559
189,0,0,0,13.008,0,3.913,1.893,52.6,-3.025,0.55
190,0,0,0,13.85,1,3.502,2.274,29.1,-3.25,0.088
191,0,0,0,12.318,0,3.17,1.965,20.23,-3.416,0.257
192,0,0,0,12.391,0,3.833,2.222,32.34,-3.765,0.074
193,0,0,0,13.978,1,3.764,2.208,55.56,-3.012,0.273
194,0,0,0,12.48,0,3.615,2.094,32.34,-3.366,0.075
195,0,0,0,12.454,0,3.689,2.264,32.34,-3.475,0.074
196,0,0,0,12.51,0,3.58,2.259,41.13,-3.25,0.074
197,0,0,0,12.715,0,3.736,2.446,55.56,-3.126,0.273
198,1,0,1,13.895,0,3.849,2.213,88.89,-2.404,0
199,1,0,0,13.916,0,4.119,2.176,83.58,-2.719,0.349
200,0,0,0,13.881,1,3.868,2.146,67.59,-3.025,0.318
201,0,0,0,12.464,0,4.037,2.716,39.82,-3.649,0.086
202,0,1,0,12.765,0,4.833,2.994,111.79,-4.312,0.676
203,0,1,0,12.842,0,4.509,2.943,82.69,-3.926,0.6
204,0,0,0,12.699,0,4.329,2.361,72.83,-4.02,0.708
205,0,1,0,12.815,0,4.564,3.283,90.65,-3.995,0.6
206,0,0,0,12.942,0,4.457,2.56,124.29,-3.762,1.031
207,1,1,0,13.737,0,4.637,2.52,140.92,-3.363,0.686
208,0,0,0,12.676,0,4.352,2.273,72.83,-4.089,0.707
209,0,0,0,12.676,0,3.978,2.716,49.77,-3.556,0.433
210,0,0,0,12.709,0,3.938,2.765,49.77,-3.458,0.416
211,0,0,1,12.326,0,3.86,2.721,39.06,-3.577,0
212,0,0,0,12.528,0,4.202,2.324,35.53,-4.05,0.482
213,2,0,0,16.016,0,3.691,1.935,74.6,-2.176,0.591
214,0,0,0,13.099,0,3.126,1.849,52.32,-2.201,0.245
215,0,0,0,13.208,0,3.072,1.954,52.32,-1.993,0.247
216,0,0,0,12.593,0,4.139,2.748,68.36,-3.63,0.231
217,0,0,0,12.707,0,4.872,2.99,118.21,-4.164,0.429
218,0,0,0,12.57,0,4.171,2.708,68.36,-3.715,0.231
219,1,0,0,13.39,0,4.339,2.339,59.08,-3.685,0.587
220,0,0,0,13.128,0,4.268,2.742,107.77,-3.158,0.688
221,0,0,0,13.703,1,4.296,2.463,99.88,-3.434,0.692
222,0,0,1,12.615,0,4.565,2.215,63.95,-4.127,0.972
223,0,6,0,14.078,0,4.606,3.419,59.59,-2.919,0.54
224,0,0,0,12.598,0,3.712,2.417,58.36,-3.126,0.073
225,0,0,0,14.803,0,4.07,4.369,157.11,-0.781,0.359
226,0,0,0,19.874,0,4.366,1.275,42.68,-3.995,0.535
227,0,0,0,13.026,0,5.236,2.605,203.06,-4.31,1.902
228,0,0,0,12.41,0,4.058,2.366,59.22,-3.901,0.075
229,0,0,0,12.918,0,3.061,1.662,26.3,-2.516,0.273
230,0,0,0,12.536,0,3.85,2.579,41.49,-3.577,0.391
231,0,0,0,12.746,0,3.863,2.495,50.72,-3.354,0.624
232,0,0,0,12.851,0,3.953,2.579,84.58,-3.13,0.467
233,0,0,0,12.676,0,4.557,3.015,75.74,-3.926,0.872
