Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,C Log P
197,0,0,0,12.715,0,3.736,2.446,55.56,-3.126,0.273,1.767
198,1,0,1,13.895,0,3.849,2.213,88.89,-2.404,0,0.115
199,1,0,0,13.916,0,4.119,2.176,83.58,-2.719,0.349,1.459
200,0,0,0,13.881,1,3.868,2.146,67.59,-3.025,0.318,2.002
201,0,0,0,12.464,0,4.037,2.716,39.82,-3.649,0.086,3.129
202,0,1,0,12.765,0,4.833,2.994,111.79,-4.312,0.676,6.314
203,0,1,0,12.842,0,4.509,2.943,82.69,-3.926,0.6,4.628
204,0,0,0,12.699,0,4.329,2.361,72.83,-4.02,0.708,4.196
205,0,1,0,12.815,0,4.564,3.283,90.65,-3.995,0.6,4.518
206,0,0,0,12.942,0,4.457,2.56,124.29,-3.762,1.031,2.44
207,1,1,0,13.737,0,4.637,2.52,140.92,-3.363,0.686,2.402
208,0,0,0,12.676,0,4.352,2.273,72.83,-4.089,0.707,4.586
209,0,0,0,12.676,0,3.978,2.716,49.77,-3.556,0.433,1.931
210,0,0,0,12.709,0,3.938,2.765,49.77,-3.458,0.416,1.888
211,0,0,1,12.326,0,3.86,2.721,39.06,-3.577,0,2.528
212,0,0,0,12.528,0,4.202,2.324,35.53,-4.05,0.482,4.731
213,2,0,0,16.016,0,3.691,1.935,74.6,-2.176,0.591,2.097
214,0,0,0,13.099,0,3.126,1.849,52.32,-2.201,0.245,0.176
215,0,0,0,13.208,0,3.072,1.954,52.32,-1.993,0.247,-0.212
216,0,0,0,12.593,0,4.139,2.748,68.36,-3.63,0.231,1.053
217,0,0,0,12.707,0,4.872,2.99,118.21,-4.164,0.429,1.509
218,0,0,0,12.57,0,4.171,2.708,68.36,-3.715,0.231,1.443
219,1,0,0,13.39,0,4.339,2.339,59.08,-3.685,0.587,3.369
220,0,0,0,13.128,0,4.268,2.742,107.77,-3.158,0.688,2.176
221,0,0,0,13.703,1,4.296,2.463,99.88,-3.434,0.692,2.266
222,0,0,1,12.615,0,4.565,2.215,63.95,-4.127,0.972,5.093
223,0,6,0,14.078,0,4.606,3.419,59.59,-2.919,0.54,3.441
224,0,0,0,12.598,0,3.712,2.417,58.36,-3.126,0.073,1.34
225,0,0,0,14.803,0,4.07,4.369,157.11,-0.781,0.359,-1.02
226,0,0,0,19.874,0,4.366,1.275,42.68,-3.995,0.535,6.936
227,0,0,0,13.026,0,5.236,2.605,203.06,-4.31,1.902,2.218
228,0,0,0,12.41,0,4.058,2.366,59.22,-3.901,0.075,3.362
229,0,0,0,12.918,0,3.061,1.662,26.3,-2.516,0.273,0.644
230,0,0,0,12.536,0,3.85,2.579,41.49,-3.577,0.391,2.578
231,0,0,0,12.746,0,3.863,2.495,50.72,-3.354,0.624,1.989
232,0,0,0,12.851,0,3.953,2.579,84.58,-3.13,0.467,0.452
233,0,0,0,12.676,0,4.557,3.015,75.74,-3.926,0.872,3.256
234,0,0,0,12.676,0,4.256,2.915,95.58,-3.63,0.48,2.135
235,0,0,0,12.827,0,4.039,2.44,81.95,-3.446,0.696,0.635
236,0,0,0,12.676,0,3.807,2.59,57.28,-3.243,0.391,1.424
237,0,0,0,12.842,0,4.168,2.372,87.66,-3.439,0.553,2.365
238,0,0,0,12.918,0,4.678,2.986,112.27,-3.516,1.018,1.718
239,0,3,0,13.237,0,4.808,2.98,97.05,-3.664,0.699,3.071
240,1,0,0,13.582,0,4.432,2.366,99.88,-3.434,0.81,2.341
241,0,0,0,12.937,0,4.43,2.786,103.04,-3.262,0.695,1.057
242,0,0,0,12.937,0,4.448,2.642,111.83,-3.262,0.695,1.351
243,1,0,0,14.441,0,3.455,2.09,57.61,-2.448,0.368,0.628
244,0,0,0,12.897,0,4.355,2.705,95.94,-3.522,0.646,1.605
245,0,0,0,15.788,2,3.419,2.232,36.42,-2.448,0,2.365
246,1,0,0,15.973,1,3.482,2.131,58.53,-2.176,0.079,1.873
247,0,0,0,12.581,0,3.4,2.407,67.64,-2.72,0,0.526
248,0,0,0,12.676,0,3.374,3.529,63.83,-2.39,0,0.915
249,0,0,0,12.937,0,4.474,2.958,106.95,-3.262,0.767,1.785
250,0,0,0,12.917,0,4.931,2.609,117.78,-4.095,1.666,3.689
251,0,0,0,12.832,0,3.721,2.367,72.72,-3.126,0.561,1.306
252,0,0,0,12.593,0,4.068,2.384,46.53,-3.821,0.432,2.854
253,2,0,0,17.04,1,3.821,2.198,118.69,-1.683,0.165,0.13
254,2,0,0,17.04,1,3.791,2.138,118.36,-1.683,0.172,-0.351
255,1,0,0,14.571,1,4.186,2.465,92.5,-3.057,0.157,2.083
256,2,0,0,17.458,2,3.891,1.901,109.57,-1.945,0.171,0.598
257,1,0,0,14.571,1,4.143,2.364,92.5,-3.057,0.158,2.714
258,1,0,0,15.222,1,4.126,2.657,122.63,-2.51,0.593,1.891
259,0,0,0,13.412,1,3.939,2.381,12.47,-3.765,0.242,4.195
260,0,0,0,12.51,0,3.224,2.384,32.26,-2.987,0.15,1.328
261,0,0,0,13.085,0,3.494,2.932,72.72,-2.562,0.658,0.351
262,0,0,0,12.842,0,3.342,2.78,52.49,-2.689,0.408,0.645
263,0,0,0,13.438,1,4.573,2.312,106.97,-4.021,0.861,4.087
264,0,1,0,12.981,0,4.616,2.495,106.97,-4.021,0.86,3.818
265,0,0,0,12.783,0,4.398,2.569,93.06,-3.995,0.707,2.717
266,0,0,0,12.836,0,4.387,2.551,97.74,-3.853,0.681,2.561
267,0,1,0,12.973,0,4.313,2.627,94.83,-3.777,0.618,1.896
268,0,1,0,13.042,0,4.437,2.599,100.9,-3.762,0.743,2.445
269,0,1,0,12.861,0,4.23,2.464,74.6,-3.874,0.47,2.923
270,1,3,0,13.804,0,4.568,2.435,80.67,-3.741,0.581,4.43
271,0,0,0,12.778,0,4.201,2.574,94.83,-3.797,0.624,1.782
272,0,0,0,12.75,0,4.243,2.547,94.83,-3.874,0.621,1.804
273,0,0,0,12.778,0,4.223,2.662,94.83,-3.797,0.621,1.558
274,0,0,0,12.778,0,4.24,2.694,91.67,-3.797,0.556,1.766
275,0,0,0,12.454,0,4.14,2.213,54.37,-4.227,0.328,4.497
276,0,1,0,13.008,0,4.431,2.574,93.06,-3.836,0.702,2.419
277,0,0,1,12.41,0,4.124,2.547,46.26,-4.087,0.269,4.221
278,0,0,0,12.454,0,4.158,2.174,58.2,-4.05,0.148,3.815
279,1,0,0,13.465,0,4.514,2.371,113.42,-3.363,0.4,1.129
280,0,0,0,12.768,0,4.423,3.199,74.87,-3.685,0.56,1.729
281,1,0,0,13.422,0,4.539,2.358,112.9,-3.442,0.4,1.589
282,0,0,0,12.581,0,4.237,2.225,60.44,-4.121,0.441,4.655
283,0,0,0,12.41,0,3.832,2.586,40.46,-3.89,0.412,3.609
284,0,0,1,12.358,0,3.986,2.523,37.3,-4.13,0.229,3.883
285,0,0,0,31.908,0,4.188,0.769,92.78,-2.866,0.756,4.557
286,0,0,0,12.918,0,3.212,2.672,63.32,-2.516,0.295,0.836
287,0,0,0,12.705,0,4.148,3.158,67.51,-3.737,0.585,3.61
288,1,0,0,13.829,0,4.108,2.491,92.34,-3.041,0.229,2.21
289,1,0,0,15.508,1,3.744,2.16,75.27,-2.404,0.142,1.738
290,1,0,0,13.422,0,4.655,2.423,124.68,-3.591,0.276,3.074
291,1,0,0,13.494,0,4.592,2.661,130.15,-3.356,0.214,2.078
292,1,0,0,14.115,1,4.63,2.484,113.6,-3.516,0.461,3.642
293,1,0,0,13.821,0,3.991,2.391,78.51,-2.928,0.142,1.774
294,1,0,0,14.012,0,3.805,2.227,75.27,-2.78,0.142,1.783
295,0,0,0,13.12,0,2.959,2.358,91.49,-1.409,0,-1.244
296,1,0,0,13.451,0,4.338,2.6,68.29,-3.529,0.386,3.16
297,1,0,0,13.531,0,4.364,2.66,71.53,-3.344,0.385,2.491
298,0,0,0,12.51,0,3.156,2.093,20.23,-2.987,0.258,1.979
299,0,0,0,12.932,0,3.436,2.335,33.42,-2.562,0.213,0.572
300,0,0,0,15.794,0,3.74,1.726,16.13,-3.577,0,3.928
301,0,0,0,13.455,1,3.752,2.252,16.13,-3.577,0,3.819
302,0,0,0,12.201,0,3.91,2.658,16.13,-3.974,0,3.918
303,0,0,0,13.582,1,3.858,2.325,25.36,-3.458,0.134,3.403
304,0,0,0,13.237,1,4.022,2.289,12.47,-4.012,0.134,5.104
305,0,0,0,12.326,0,3.796,2.522,12.47,-3.801,0.135,3.354
306,0,0,0,12.41,0,3.845,2.405,25.36,-3.674,0.132,2.923
307,0,0,0,13.47,1,4.358,2.686,53.01,-3.698,0.428,3.148
308,0,0,0,13.258,1,3.912,2.593,24.92,-3.851,0,4.019
309,0,0,0,12.496,0,4.736,2.731,81,-4.505,0.59,5.511
